¿Habla alguna lengua indígena?,Escolaridad,¿Participa la familia en la producción de maíz o le paga a alguien?,¿Se dedica por completo a la agricultura?,Tipo de propiedad del terreno de cultivo,¿Cuándo se prepara el terreno para poder sembrar?,¿En qué época siembra?,Fecha en que cosechó,¿Cómo prepara el terreno?,¿Cuáles son las principales plagas en su cultivo o enfermedades?,"En caso de que sí, ¿qué otros cultivos siembra?",¿Qué usos le da al maíz que produce?,¿Qué alimentos prepara con el maíz?,¿A qué problemas de producción se encuentra cada vez que cultiva?,¿En su región siembran semillas comerciales (híbridas o mejoradas) que no sean de la región?
Náhuatl,Secundaria,Sí,Sí,Propia,Febrero,Marzo-Abril,Octubre,Maquinaria;Tractor rentado,"Nenish, insecto",Frijol;Calabaza;Chile;Tomate;Haba;Chícharo,Planta de maíz para forraje;Alimentos;Envoltura para tamal;Medicinal;Mazorcas para llevar a la iglesia,Tortilla;Elotes;Esquites;Tamales;Atoles;Antojitos,Plagas;Enfermedades;Viento,No
No habla ninguna,Primaria trunca,Sí,No,Propia,Mayo,Mayo-Junio,diciembre,Maquinaria,deficiencia de calcio en las hojas de la plante de maiz y las plagas de chapulines y algun tipo de escarabajo,Frijol;Calabaza;Chilacayote;Haba,Grano para forraje;Planta de maíz para forraje;Planta de maíz como abono;Alimentos;Envoltura para tamal;Medicinal;Material para construcción;Mazorcas para llevar a la iglesia;Mazorcas para altar de casa,Tortilla;Elotes;Esquites;Tamales;Atoles;Enchiladas;Antojitos;Tlacoyos;Molotes,Sequías;Plagas;Enfermedades;Suelos infértiles;Contaminación por plaguicidas;Problemas económicos,Sí
No habla ninguna,Primaria trunca,Sí,Sí,Rentada,Febrero,Abril-Mayo,Noviembre-diciembre,Manual;Maquinaria;Arado;Cultivadora ,"Gorgojo, Polilla y el Nenesh",Frijol;Calabaza;Chilacayote;Haba,Grano para forraje;Planta de maíz para forraje;Planta de maíz como abono;Alimentos;Mazorcas para llevar a la iglesia;Mazorcas para altar de casa,Tortilla;Elotes;Esquites;Tamales;Atoles;Pozole;Enchiladas;Pinole,Sequías;Fuertes vientos ,Sí
Náhuatl,Secundaria,Sí,Sí,Propia,Abril,Abril,Noviembre,Manual;Maquinaria,Chayotillo ,Frijol;Calabaza;Chilacayote;Haba;Papa;Árboles frutales,Grano para forraje;Planta de maíz para forraje;Alimentos;Envoltura para tamal;Medicinal;Mazorcas para llevar a la iglesia;Mazorcas para altar de casa,Tortilla;Tamales;Atoles;Pozole;Enchiladas;Tlaxcales;Pinole,Sequías;Plagas;Enfermedades;Problemas económicos,No
